,#,Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population
8,1,USA,106082759,1153526.0,,103746998.0,1182235.0,"2,136","316,849",3445.0,1171933667.0,"3,500,344","334,805,269"
9,2,India,44699418,530816.0,,44160997.0,7605.0,N/A,"31,778",377.0,920444854.0,"654,361","1,406,631,776"
16,9,UK,24423396,208458.0,,24173880.0,41058.0,N/A,"356,557",3043.0,522526476.0,"7,628,357","68,497,907"
19,12,Spain,13783163,119872.0,,,,231,"295,022",2566.0,471036328.0,"10,082,298","46,719,142"
17,10,Russia,22550395,396974.0,,21902407.0,251014.0,N/A,"154,660",2723.0,273400000.0,"1,875,095","145,805,947"
10,3,France,39735279,165454.0,,39468692.0,101133.0,869,"605,864",2523.0,271490188.0,"4,139,547","65,584,518"
15,8,Italy,25651205,188750.0,,25320467.0,141988.0,104,"425,656",3132.0,269127054.0,"4,465,893","60,262,770"
30,23,Austria,6015537,22071.0,,,,54,"663,475",2434.0,211273524.0,"23,302,116","9,066,710"
76,69,UAE,1055716,2349.0,,,,,"104,715",233.0,199644324.0,"19,802,478","10,081,785"
18,11,Turkey,17042722,101492.0,,,,,"199,186",1186.0,162743369.0,"1,902,052","85,561,976"
238,231,China,503302,5272.0,,,,N/A,347,4.0,160000000.0,"110,461","1,448,471,400"
47,40,Denmark,3177290,8342.0,,,,19,"544,527",1430.0,129227017.0,"22,147,065","5,834,950"
11,4,Germany,38320981,170074.0,,37998500.0,152407.0,N/A,"456,835",2028.0,122332384.0,"1,458,359","83,883,596"
27,20,Indonesia,6742814,160984.0,,,,N/A,"24,156",577.0,114158919.0,"408,975","279,134,505"
31,24,Greece,5920428,36447.0,,,,115,"573,872",3533.0,102228365.0,"9,909,078","10,316,637"
13,6,Japan,33398536,73632.0,,21712446.0,11612458.0,73,"265,944",586.0,97046868.0,"772,759","125,584,838"
20,13,Vietnam,11527187,43186.0,,,,2,"116,491",436.0,85826548.0,"867,342","98,953,541"
21,14,Australia,11277613,19690.0,,,,27,"432,610",755.0,78835048.0,"3,024,116","26,068,792"
48,41,Hong Kong,2884422,13473.0,,,,28,"379,315",1772.0,76127725.0,"10,011,143","7,604,299"
35,28,Malaysia,5047040,36972.0,,,,5,"152,106",1114.0,68319184.0,"2,058,981","33,181,072"
41,34,Canada,4618059,51800.0,,,,99,"120,298",1349.0,66343123.0,"1,728,207","38,388,419"
12,5,Brazil,37204677,699917.0,,36249161.0,255599.0,N/A,"172,761",3250.0,63776166.0,"296,146","215,353,593"
40,33,Czechia,4629244,42605.0,,,,32,"431,157",3968.0,57089366.0,"5,317,176","10,736,784"
25,18,Iran,7580858,145091.0,,,,407,"88,126",1687.0,55353767.0,"643,478","86,022,837"
34,27,Chile,5243653,64443.0,,,,76,"272,395",3348.0,48873975.0,"2,538,882","19,250,195"
32,25,Portugal,5573509,26362.0,,,,61,"549,625",2600.0,46026082.0,"4,538,806","10,140,570"
83,76,Saudi Arabia,832036,9626.0,,,,56,"23,212",269.0,45235370.0,"1,261,975","35,844,909"
36,29,Israel,4810698,12372.0,,,,57,"515,837",1327.0,41373364.0,"4,436,346","9,326,000"
28,21,Poland,6483371,119216.0,,,,696,"171,791",3159.0,38470571.0,"1,019,364","37,739,785"
42,35,Peru,4490491,219694.0,,,,34,"133,311",6522.0,38246538.0,"1,135,444","33,684,208"
29,22,Colombia,6361810,142665.0,,,,342,"123,500",2770.0,36951507.0,"717,327","51,512,762"
38,31,Belgium,4757448,33885.0,,,,43,"407,725",2904.0,36842747.0,"3,157,514","11,668,278"
23,16,Argentina,10044957,130472.0,,,,363,"218,320",2836.0,35716069.0,"776,264","46,010,234"
44,37,Philippines,4079501,66304.0,,,,162,"36,259",589.0,34770244.0,"309,044","112,508,994"
33,26,Ukraine,5427360,111457.0,,,,,"125,656",2580.0,32603805.0,"754,855","43,192,122"
22,15,Taiwan,10239955,18892.0,,,,,"428,655",791.0,30742304.0,"1,286,903","23,888,595"
60,53,Pakistan,1578918,30648.0,+1,,,22,"6,880",134.0,30570862.0,"133,213","229,488,994"
46,39,Romania,3359839,67821.0,,,,142,"176,542",3564.0,26905492.0,"1,413,747","19,031,335"
45,38,South Africa,4071639,102595.0,,,,192,"67,016",1689.0,26795090.0,"441,027","60,756,135"
24,17,Netherlands,8607129,22992.0,,,,53,"500,082",1336.0,25984435.0,"1,509,718","17,211,447"
104,97,Oman,399449,4628.0,,,,2,"75,028",869.0,25000000.0,"4,695,724","5,323,993"
53,46,Singapore,2234996,1722.0,,,,1,"376,037",290.0,24756666.0,"4,165,302","5,943,546"
43,36,Switzerland,4396055,14452.0,,,,39,"501,053",1647.0,23833472.0,"2,716,487","8,773,637"
26,19,Mexico,7516046,333362.0,,,,N/A,"57,129",2534.0,19719919.0,"149,890","131,562,772"
51,44,Iraq,2465545,25375.0,,,,21,"58,474",602.0,19544451.0,"463,523","42,164,965"
49,42,Sweden,2701192,23823.0,,,,8,"264,331",2331.0,19500873.0,"1,908,301","10,218,971"
39,32,Thailand,4728482,33929.0,,,,N/A,"67,474",484.0,17270775.0,"246,450","70,078,203"
58,51,Jordan,1746997,14122.0,,,,59,"169,597",1371.0,17201885.0,"1,669,945","10,300,869"
57,50,Georgia,1831771,17004.0,,,,,"461,550",4284.0,16920079.0,"4,263,340","3,968,738"
14,7,S. Korea,30749740,34211.0,+10,30535014.0,180515.0,144,"599,061",666.0,15804065.0,"307,892","51,329,899"
55,48,Bangladesh,2037978,29445.0,,,,N/A,"12,139",175.0,15254399.0,"90,862","167,885,689"
74,67,Cuba,1112743,8530.0,,,,2,"98,424",754.0,14324663.0,"1,267,036","11,305,652"
81,74,Belarus,994037,7118.0,,,,,"105,381",755.0,13646641.0,"1,446,722","9,432,800"
59,52,Ireland,1706176,8750.0,,,,10,"339,862",1743.0,13059502.0,"2,601,391","5,020,199"
67,60,Morocco,1272585,16296.0,,,,3,"33,691",431.0,12999679.0,"344,155","37,772,756"
50,43,Serbia,2512161,17944.0,,,,18,"290,322",2074.0,12570536.0,"1,452,735","8,653,016"
62,55,Finland,1465256,9028.0,,,,21,"263,774",1625.0,12066384.0,"2,172,182","5,554,960"
63,56,Kazakhstan,1409220,13847.0,,,,24,"73,378",721.0,11575012.0,"602,707","19,205,043"
54,47,Hungary,2198461,48791.0,,,,13,"228,857",5079.0,11394556.0,"1,186,160","9,606,259"
66,59,Bulgaria,1299057,38244.0,,,,25,"189,793",5587.0,11107008.0,"1,622,741","6,844,597"
61,54,Norway,1480386,5213.0,,,,20,"268,606",946.0,11002430.0,"1,996,315","5,511,370"
86,79,Bahrain,715115,1557.0,,,,5,"400,853",873.0,10775063.0,"6,039,891","1,783,983"
65,58,Lithuania,1312209,9623.0,,,,3,"492,995",3615.0,10405811.0,"3,909,449","2,661,708"
91,84,Myanmar,634021,19490.0,,,,,"11,480",353.0,10145323.0,"183,702","55,227,143"
90,83,Cyprus,653667,1341.0,,,,60,"534,309",1096.0,9640118.0,"7,879,860","1,223,387"
88,81,Kuwait,664772,2570.0,,,,,"151,763",587.0,8455743.0,"1,930,391","4,380,326"
82,75,Latvia,976622,6270.0,,,,13,"528,236",3391.0,7868534.0,"4,255,937","1,848,837"
52,45,New Zealand,2250952,3966.0,,,,,"459,546",810.0,7768604.0,"1,586,011","4,898,203"
78,71,Panama,1032939,8612.0,,,,16,"232,280",1937.0,7563087.0,"1,700,730","4,446,964"
84,77,Azerbaijan,829303,10153.0,,,,,"80,513",986.0,7551235.0,"733,115","10,300,205"
